old_emo,curr_emo,old_img,curr_img,elap_time
1,1,user_12/IMG_20210718_081511.jpg,user_12/IMG_20210718_081513.jpg,0.0
1,1,user_12/IMG_20210718_081513.jpg,user_12/IMG_20210719_180035.jpg,33.756521666666664
1,1,user_12/IMG_20210719_180035.jpg,user_12/IMG_20210719_180037.jpg,0.0
1,0,user_12/IMG_20210719_180037.jpg,user_12/IMG_20210721_135617.jpg,43.929652777777775
0,0,user_12/IMG_20210721_135617.jpg,user_12/IMG_20210721_135618.jpg,0.0
0,0,user_12/IMG_20210721_135618.jpg,user_12/IMG_20210721_135620.jpg,0.0
0,1,user_12/IMG_20210721_135620.jpg,user_12/IMG_20210723_101224.jpg,44.26726111111112
1,1,user_12/IMG_20210723_101224.jpg,user_12/IMG_20210723_101225.jpg,0.0
1,1,user_12/IMG_20210723_101225.jpg,user_12/IMG_20210723_101223.jpg,0.0
1,1,user_12/IMG_20210723_101223.jpg,user_12/IMG_20210724_122229.jpg,26.16863777777778
1,1,user_12/IMG_20210724_122229.jpg,user_12/IMG_20210724_122231.jpg,0.0
1,1,user_12/IMG_20210724_122231.jpg,user_12/IMG_20210724_122232.jpg,0.0
1,0,user_12/IMG_20210724_122232.jpg,user_12/IMG_20210726_014540.jpg,37.38628805555555
0,0,user_12/IMG_20210726_014540.jpg,user_12/IMG_20210726_014542.jpg,0.0
0,0,user_12/IMG_20210726_014542.jpg,user_12/IMG_20210726_014543.jpg,0.0
0,1,user_12/IMG_20210726_014543.jpg,user_12/IMG_20210727_092742.jpg,31.69964277777778
1,1,user_12/IMG_20210727_092742.jpg,user_12/IMG_20210727_092740.jpg,0.0
1,1,user_12/IMG_20210727_092740.jpg,user_12/IMG_20210728_010327.jpg,15.59607
1,1,user_12/IMG_20210728_010327.jpg,user_12/IMG_20210728_010325.jpg,0.0
1,1,user_12/IMG_20210728_010325.jpg,user_12/IMG_20210728_195517.jpg,18.864086666666665
1,1,user_12/IMG_20210728_195517.jpg,user_12/IMG_20210728_195518.jpg,0.0
1,1,user_12/IMG_20210728_195518.jpg,user_12/IMG_20210729_132859.jpg,17.561568055555554
1,1,user_12/IMG_20210729_132859.jpg,user_12/IMG_20210729_132900.jpg,0.0
1,1,user_12/IMG_20210729_132900.jpg,user_12/IMG_20210730_093342.jpg,20.07931638888889
1,1,user_12/IMG_20210730_093342.jpg,user_12/IMG_20210730_093344.jpg,0.0
1,1,user_12/IMG_20210730_093344.jpg,user_12/IMG_20210730_093345.jpg,0.0
1,1,user_12/IMG_20210730_093345.jpg,user_12/IMG_20210731_153941.jpg,30.09887472222222
1,1,user_12/IMG_20210731_153941.jpg,user_12/IMG_20210731_153940.jpg,0.0
1,1,user_12/IMG_20210731_153940.jpg,user_12/IMG_20210801_124319.jpg,21.06079611111111
1,1,user_12/IMG_20210801_124319.jpg,user_12/IMG_20210801_124320.jpg,0.0
1,1,user_12/IMG_20210801_124320.jpg,user_12/IMG_20210803_103155.jpg,45.81034916666667
1,1,user_12/IMG_20210803_103155.jpg,user_12/IMG_20210803_103156.jpg,0.0
1,1,user_12/IMG_20210803_103156.jpg,user_12/IMG_20210803_103158.jpg,0.0
1,1,user_12/IMG_20210803_103158.jpg,user_12/IMG_20210804_155114.jpg,29.321481388888888
1,1,user_12/IMG_20210804_155114.jpg,user_12/IMG_20210804_155113.jpg,0.0
1,1,user_12/IMG_20210804_155113.jpg,user_12/IMG_20210805_183553.jpg,26.743979444444445
1,1,user_12/IMG_20210805_183553.jpg,user_12/IMG_20210805_183551.jpg,0.0
1,1,user_12/IMG_20210805_183551.jpg,user_12/IMG_20210805_183552.jpg,0.0
1,1,user_12/IMG_20210805_183552.jpg,user_12/IMG_20210807_172457.jpg,46.818377222222225
1,1,user_12/IMG_20210807_172457.jpg,user_12/IMG_20210807_172458.jpg,0.0
1,1,user_12/IMG_20210807_172458.jpg,user_12/IMG_20210807_172459.jpg,0.0
1,0,user_12/IMG_20210807_172459.jpg,user_12/IMG_20210808_215259.jpg,28.46101527777778
0,0,user_12/IMG_20210808_215259.jpg,user_12/IMG_20210808_215257.jpg,0.0
0,0,user_12/IMG_20210808_215257.jpg,user_12/IMG_20210808_215256.jpg,0.0
0,0,user_12/IMG_20210808_215256.jpg,user_12/IMG_20210808_215237.jpg,0.0
0,0,user_12/IMG_20210808_215237.jpg,user_12/IMG_20210808_215238.jpg,0.0
0,1,user_12/IMG_20210808_215238.jpg,user_12/IMG_20210808_215238.jpg,0.005639722222222222
1,1,user_12/IMG_20210808_215238.jpg,user_12/IMG_20210808_215256.jpg,0.0
1,1,user_12/IMG_20210808_215256.jpg,user_12/IMG_20210808_215237.jpg,0.0
1,1,user_12/IMG_20210808_215237.jpg,user_12/IMG_20210808_215257.jpg,0.0
1,1,user_12/IMG_20210808_215257.jpg,user_12/IMG_20210808_215259.jpg,0.0
1,1,user_12/IMG_20210808_215259.jpg,user_12/IMG_20210810_121031.jpg,38.29308361111111
1,1,user_12/IMG_20210810_121031.jpg,user_12/IMG_20210810_121032.jpg,0.0
1,1,user_12/IMG_20210810_121032.jpg,user_12/IMG_20210810_121033.jpg,0.0
1,1,user_12/IMG_20210810_121033.jpg,user_12/IMG_20210812_185848.jpg,54.80383333333333
