FileName,pupil_leftX,pupil_leftY,pupil_rightX,pupil_rightY,nose_tipX,nose_tipY,mouth_leftX,mouth_leftY,mouth_rightX,mouth_rightY,eyebrow_left_outerX,eyebrow_left_outerY,eyebrow_left_innerX,eyebrow_left_innerY,eye_left_outerX,eye_left_outerY,eye_left_topX,eye_left_topY,eye_left_bottomX,eye_left_bottomY,eye_left_innerX,eye_left_innerY,eyebrow_right_innerX,eyebrow_right_innerY,eyebrow_right_outerX,eyebrow_right_outerY,eye_right_innerX,eye_right_innerY,eye_right_topX,eye_right_topY,nose_right_alar_topX,nose_right_alar_topY,nose_left_alar_out_tipX,nose_left_alar_out_tipY,nose_right_alar_out_tipX,nose_right_alar_out_tipY,upper_lip_topX,upper_lip_topY,upper_lip_bottomX,upper_lip_bottomY
user_31/IMG_20210922_202149.jpg, 1245.8,  3899.8, 1955.2,  3850.0, 1607.7,  4123.0, 1319.3,  4683.6, 1934.1,  4652.3, 1033.3,  3701.1, 1391.0,  3620.0, 1116.7,  3927.0, 1256.8,  3857.2, 1233.6,  3925.4, 1376.1,  3889.8, 1761.6,  3606.5, 2163.7,  3683.5, 1829.0,  3861.1, 1939.9,  3802.2, 1784.9,  4092.1, 1376.9,  4286.0, 1856.2,  4266.9, 1642.7,  4554.8, 1626.3,  4616.0
user_31/IMG_20210922_202150.jpg, 1384.9,  3450.3, 2117.8,  3375.1, 1760.9,  3684.5, 1497.5,  4253.4, 2118.5,  4198.1, 1160.3,  3245.2, 1522.9,  3153.8, 1253.3,  3480.7, 1395.0,  3406.1, 1372.6,  3478.8, 1519.0,  3435.6, 1906.8,  3128.1, 2329.0,  3187.6, 1987.7,  3391.2, 2099.7,  3326.6, 1943.8,  3636.8, 1535.5,  3850.3, 2023.7,  3813.2, 1816.9,  4118.1, 1803.2,  4179.6
user_31/IMG_20210922_202151.jpg, 1036.5,  3497.9, 1797.7,  3403.0, 1449.7,  3713.7, 1172.6,  4288.1, 1821.7,  4213.0, 804.2,  3296.6, 1178.6,  3201.2, 899.4,  3531.9, 1047.0,  3453.2, 1024.2,  3526.4, 1175.5,  3480.3, 1572.3,  3165.3, 2000.7,  3212.0, 1663.5,  3422.4, 1779.2,  3354.9, 1628.8,  3659.6, 1207.7,  3884.8, 1715.3,  3833.1, 1513.2,  4142.6, 1498.8,  4204.4
user_31/IMG_20210922_230930.jpg, 1337.1,  4182.3, 2308.5,  4034.9, 1851.7,  4587.8, 1550.1,  5216.2, 2314.5,  5123.1, 1035.6,  3957.8, 1507.5,  3840.5, 1165.9,  4219.0, 1346.8,  4120.6, 1319.7,  4227.6, 1515.9,  4161.9, 2004.1,  3781.8, 2562.2,  3786.2, 2136.6,  4071.3, 2277.6,  3972.8, 2075.6,  4456.6, 1575.6,  4745.3, 2183.2,  4677.0, 1934.6,  5098.6, 1919.5,  5162.6
user_31/IMG_20210923_182647.jpg, 1635.4,  3903.0, 2476.1,  3890.0, 2043.0,  4303.2, 1712.7,  4874.5, 2399.2,  4865.2, 1409.5,  3645.5, 1818.2,  3606.5, 1482.1,  3917.1, 1653.3,  3850.4, 1614.6,  3940.1, 1791.4,  3904.3, 2256.6,  3621.4, 2724.7,  3691.9, 2325.2,  3901.7, 2455.4,  3830.4, 2257.1,  4222.7, 1774.6,  4428.1, 2328.7,  4430.2, 2075.7,  4784.3, 2055.2,  4852.8
user_31/IMG_20210923_182648.jpg, 1551.4,  4214.2, 2371.8,  4218.1, 1969.6,  4663.7, 1635.3,  5178.0, 2289.4,  5175.9, 1328.7,  3943.1, 1735.9,  3901.3, 1397.9,  4220.4, 1571.4,  4159.8, 1528.9,  4256.5, 1707.5,  4220.2, 2173.2,  3929.0, 2616.3,  4018.6, 2223.7,  4229.6, 2352.7,  4156.2, 2164.3,  4569.4, 1697.0,  4764.8, 2227.9,  4776.2, 1989.5,  5126.4, 1967.8,  5179.2
user_31/IMG_20210924_144723.jpg, 1415.8,  3515.9, 2210.5,  3295.0, 1828.7,  3652.3, 1632.0,  4314.3, 2351.5,  4124.7, 1138.1,  3309.5, 1496.4,  3147.0, 1277.0,  3572.6, 1421.1,  3469.9, 1405.8,  3545.5, 1559.5,  3475.5, 1928.8,  3039.6, 2418.3,  3043.3, 2068.0,  3337.2, 2181.1,  3247.0, 2043.3,  3581.6, 1625.2,  3889.4, 2163.8,  3754.3, 1975.5,  4100.7, 1968.4,  4164.2
user_31/IMG_20210924_144724.jpg, 1092.8,  3350.1, 1896.1,  3100.6, 1509.4,  3446.3, 1335.6,  4129.4, 2062.0,  3909.6, 801.7,  3140.5, 1161.2,  2958.1, 954.0,  3412.6, 1096.2,  3304.0, 1084.1,  3381.1, 1237.1,  3302.8, 1599.3,  2833.9, 2103.4,  2831.9, 1751.5,  3146.3, 1865.8,  3052.8, 1729.8,  3374.0, 1310.1,  3697.5, 1859.0,  3539.1, 1673.8,  3887.4, 1670.1,  3954.7
user_31/IMG_20210924_180911.jpg, 1886.6,  3417.0, 3212.8,  3915.7, 2312.7,  4330.2, 1413.1,  4770.3, 2669.6,  5250.9, 1490.7,  3047.8, 2344.2,  3251.9, 1669.7,  3358.2, 1920.5,  3340.3, 1859.9,  3472.4, 2096.3,  3496.9, 2957.8,  3487.6, 3722.9,  3885.7, 3002.2,  3849.4, 3238.5,  3834.6, 2685.4,  4256.0, 1817.6,  4242.5, 2708.0,  4589.8, 2103.8,  4922.6, 2048.2,  5004.1
user_31/IMG_20210924_234511.jpg, 1144.8,  4070.1, 2092.4,  4030.8, 1586.6,  4394.4, 1241.4,  5038.6, 1990.5,  5016.7, 891.1,  3822.0, 1340.9,  3745.4, 979.8,  4096.6, 1159.6,  4013.6, 1125.0,  4106.4, 1315.0,  4063.8, 1829.2,  3740.0, 2362.9,  3833.3, 1926.1,  4042.4, 2071.3,  3968.4, 1822.9,  4340.0, 1310.0,  4570.6, 1905.9,  4562.4, 1625.9,  4918.5, 1604.6,  4986.4
